Account,Post Type,Media ID,Caption,Date,Location,Post URL,Type Name,Media Count,Caption Hashtags,Caption Mentions,Likes,Comments,Title,URL,regex_street_address,ny_regex_street_address,regex_latitude,regex_longitude,regex_coordinates,caption cleaned,caption parts,burrough,lat_long_pairs,regex_distance,parsed_distance,regex_nearby,parsed_nearby
stoopingnyc,post,3235224575264006157,This gorgeous book shelf just went outside onto the stoop! Heavy!!! Between west end and riverside! #stooping,2023-11-13 15:20:44,"PostLocation(id=212988663, name='New York, New York', slug='new-york-new-york', has_public_page=True, lat=40.7142, lng=-74.0064)",https://www.instagram.com/p/Czl05w5OaAN,GraphImage,1,stooping,[],54,1,,https://scontent-lga3-1.cdninstagram.com/v/t51.2885-15/402107331_1284027945613244_2417296311962743550_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi44NTF4MTAwNi5zZHIifQ&_nc_ht=scontent-lga3-1.cdninstagram.com&_nc_cat=108&_nc_ohc=5fFDgVpssikAX_nr_fq&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MzIzNTIyNDU3NTI2NDAwNjE1Nw%3D%3D.2-ccb7-5&oh=00_AfBz_s0loGVUf73nOihtHup7u0dW7Sr3hCXdDbGWAR9AIA&oe=6556F64E&_nc_sid=fc8dfb,,,,,"nan, nan",This gorgeous book shelf just went outside onto the stoop! Heavy!!! Between west end and riverside! #stooping,"['This gorgeous book shelf just went outside onto the stoop', 'Heavy', 'Between west end and riverside', 'stooping']",New York City,[],,[],False,False
stoopingnyc,post,3234703144306557719,Pretty purple couch 💜! 28th St at 24th/23rd ave under the bridge #stoopingqueens,2023-11-12 22:06:27,"PostLocation(id=213104390, name='Queens, New York', slug='queens-new-york', has_public_page=True, lat=40.703545, lng=-73.921122)",https://www.instagram.com/p/Czj-V8eO0MX,GraphVideo,1,stoopingqueens,[],261,9,,https://scontent-lga3-2.cdninstagram.com/v/t51.2885-15/401660109_323992047047245_2799686306876905818_n.jpg?stp=dst-jpg_e15&_nc_ht=scontent-lga3-2.cdninstagram.com&_nc_cat=101&_nc_ohc=sy153gCZYSQAX9TwG0d&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfBCE49rULI2CwR_kTg1FTQGpclDHhpJGE5pUr10dbRmpg&oe=65541A76&_nc_sid=8b3546,,,,,"nan, nan",Pretty purple couch  ! 28th St at 24th 23rd ave under the bridge #stoopingqueens,"['Pretty purple couch', '28th St', '24th 23rd ave under the bridge', 'stoopingqueens']",Queens,[],,[],False,False
stoopingnyc,post,3234701669052241241,Tag a national lampoons fan! Right by the boundary of Brooklyn museum on Washington Ave. #stoopingbrooklyn,2023-11-12 22:01:49,"PostLocation(id=212950988, name='Brooklyn, New York', slug='brooklyn-new-york', has_public_page=True, lat=40.649973, lng=-73.949961)",https://www.instagram.com/p/Czj-AeiONVZ,GraphImage,1,stoopingbrooklyn,[],123,2,,https://scontent-lga3-1.cdninstagram.com/v/t51.2885-15/401687007_365105859214510_6758979490667020441_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi42MzZ4NjM2LnNkciJ9&_nc_ht=scontent-lga3-1.cdninstagram.com&_nc_cat=110&_nc_ohc=KKYpIud8Lg4AX8zuBJe&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MzIzNDcwMTY2OTA1MjI0MTI0MQ%3D%3D.2-ccb7-5&oh=00_AfA9fdECUXA-Tr9jTOcf96-umkQY3VFTgxO4y9BMaBSNiA&oe=6556FC6A&_nc_sid=fc8dfb,,,,,"nan, nan",Tag a national lampoons fan! Right by the boundary of Brooklyn museum on Washington Ave. #stoopingbrooklyn,"['Tag a national lampoons fan', 'Right by the boundary', 'Brooklyn museum', 'Washington Ave', 'stoopingbrooklyn']",Brooklyn,"[(40.6712062, -73.9636306), (40.17396, -80.2461714)]",,"[4.322342126010499, 331.2754265523837]",False,False
stoopingnyc,post,3234654292450769117,"Such a colorful Sunday on the stoops! Cute ikat covered chairs in front of 475 13th St., Brooklyn #stoopingbrooklyn",2023-11-12 20:27:41,"PostLocation(id=212950988, name='Brooklyn, New York', slug='brooklyn-new-york', has_public_page=True, lat=40.649973, lng=-73.949961)",https://www.instagram.com/p/CzjzPDouHjd,GraphImage,1,stoopingbrooklyn,[],377,6,,https://scontent-lga3-1.cdninstagram.com/v/t51.2885-15/401089960_883354679770374_2423428046441352993_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi43NTZ4NTY4LnNkciJ9&_nc_ht=scontent-lga3-1.cdninstagram.com&_nc_cat=106&_nc_ohc=uuzKE0oucUAAX9Ro6jf&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MzIzNDY1NDI5MjQ1MDc2OTExNw%3D%3D.2-ccb7-5&oh=00_AfC-_FGsakDbxHkHC2SH-FhMZi-_nxxKB1qmHNMHo-trTw&oe=6556CE47&_nc_sid=fc8dfb,475 13th St,"475 13th St, New York, New York",40.6629762,-73.980053,"40.6629762, -73.980053","Such a colorful Sunday on the stoops! Cute ikat covered chairs in front of 475 13th st, Brooklyn #stoopingbrooklyn","['Such a colorful Sunday', 'the stoops', 'Cute ikat covered chairs in front', '475 13th st', 'Brooklyn', 'stoopingbrooklyn']",Brooklyn,"[(40.2178384, -85.4336824), (40.6781784, -73.9441579)]",4.5427011743960275,"[602.983684958218, 4.514341438715545]",False,False
stoopingnyc,post,3234573619451048373,🪴 in search of a good home. Beach street between Greenwich and Hudson. #stooping,2023-11-12 17:47:24,"PostLocation(id=212988663, name='New York, New York', slug='new-york-new-york', has_public_page=True, lat=40.7142, lng=-74.0064)",https://www.instagram.com/p/Czjg5HDOrG1,GraphSidecar,2,stooping,[],212,4,,https://scontent-lga3-1.cdninstagram.com/v/t51.2885-15/401148146_1000299847704258_8083525789042839006_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-lga3-1.cdninstagram.com&_nc_cat=106&_nc_ohc=H8eaPA2Qp84AX_xKfIa&edm=AOQ1c0wBAAAA&ccb=7-5&ig_cache_key=MzIzNDU3MzYxNDU2ODczODM5NQ%3D%3D.2-ccb7-5&oh=00_AfAgtNfr-VnguZP1LMPRsjt43nwZzocoZaa5Xi39yP75Fw&oe=655735CD&_nc_sid=8b3546,,,,,"nan, nan",  in search of a good home. Beach street between Greenwich and Hudson. #stooping,"['in search', 'a good home', 'Beach street between Greenwich and Hudson', 'stooping']",New York City,"[(-26.1925872, 27.8021504), (41.0262417, -73.6281964)]",,"[7961.279529063937, 28.46499234992383]",False,False
stoopingnyc,post,3234548293714914058,Does it come with lessons? free functional loom with slightly broken caster (can be fixed) sitting on the porch of 456 E 18th St in Brooklyn! It’s somewhat heavy (2 person job with vehicle). #stoopingbrooklyn,2023-11-12 16:57:05,"PostLocation(id=212950988, name='Brooklyn, New York', slug='brooklyn-new-york', has_public_page=True, lat=40.649973, lng=-73.949961)",https://www.instagram.com/p/CzjbIknuSsK,GraphSidecar,3,stoopingbrooklyn,[],6216,96,,https://scontent-lga3-2.cdninstagram.com/v/t51.2885-15/401586754_1811289342636201_3681803912435827293_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-lga3-2.cdninstagram.com&_nc_cat=109&_nc_ohc=yxXv9qU0ZFMAX_6lurw&edm=AOQ1c0wBAAAA&ccb=7-5&ig_cache_key=MzIzNDU0ODI4NzczNDAwODAwNg%3D%3D.2-ccb7-5&oh=00_AfDx_sflj5uAyWMWran74JQO6erKnZ7AGZl76jNn79unRg&oe=6556E7E3&_nc_sid=8b3546,456 E 18th St in Brooklyn,"456 E 18th St in Brooklyn, New York, New York",40.6400084,-73.9615835,"40.6400084, -73.9615835",Does it come with lessons? free functional loom with slightly broken caster  can be fixed  sitting on the porch of 456 E 18th St in Brooklyn! It s somewhat heavy  2 person job with vehicle . #stoopingbrooklyn,"['Does it come with lessons', 'free functional loom with slightly broken caster', 'can be fixed', 'sitting', 'the porch', '456 E 18th St in Brooklyn', 'It s somewhat heavy', '2 person job with vehicle', 'stoopingbrooklyn']",Brooklyn,"[(40.6400084, -73.9615835)]",6.343849118303652,[6.343849118303652],False,False
stoopingnyc,post,3234419796002665403,The things we miss on a Saturday night in nyc. Amazing. And still turns. Infront of 174 w 85th st. #stooping,2023-11-12 12:41:47,"PostLocation(id=212988663, name='New York, New York', slug='new-york-new-york', has_public_page=True, lat=40.7142, lng=-74.0064)",https://www.instagram.com/p/Czi96rzOvO7,GraphSidecar,2,stooping,[],1064,18,,https://scontent-lga3-1.cdninstagram.com/v/t51.2885-15/401581136_356671203547755_5610960737691335856_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-lga3-1.cdninstagram.com&_nc_cat=103&_nc_ohc=PMTOV8CdsXUAX__SFgn&edm=AOQ1c0wBAAAA&ccb=7-5&ig_cache_key=MzIzNDQxOTc4OTY3NzU3OTEwOQ%3D%3D.2-ccb7-5&oh=00_AfAQrKWl1YhzISdyly1eqhIN7Kgogkje3nsKTVyVNBhsqA&oe=65572C6D&_nc_sid=8b3546,174 w 85th st,"174 w 85th st, New York, New York",40.7867891,-73.9753679,"40.7867891, -73.9753679",The things we miss on a Saturday night in nyc. Amazing. And still turns. Infront of 174 w 85th st #stooping,"['The things we miss', 'a Saturday night in nyc', 'Amazing', 'And still turns', 'Infront', '174 w 85th st', 'stooping']",New York City,"[(40.7127753, -74.0059728), (40.7867891, -73.9753679)]",4.373558265327005,"[0.9842339754045256, 4.373558265327005]",False,True
stoopingnyc,post,3233995838287522084,Just a causal bunch of Krups things. Columbia in between sackett and union. #stoopingbrooklyn,2023-11-11 22:39:28,,https://www.instagram.com/p/CzhdhSaOCkk,GraphImage,1,stoopingbrooklyn,[],793,2,,https://scontent-lga3-1.cdninstagram.com/v/t51.2885-15/400764783_1056492932093246_5349345454023229179_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xMTA0eDExMDQuc2RyIn0&_nc_ht=scontent-lga3-1.cdninstagram.com&_nc_cat=102&_nc_ohc=B7UzOPEV5sUAX9DDxz4&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MzIzMzk5NTgzODI4NzUyMjA4NA%3D%3D.2-ccb7-5&oh=00_AfCc0Adqy_qpZNi7de4AihSpdqpWA85ZksMRje2czOMdxA&oe=655645A4&_nc_sid=fc8dfb,,,,,"nan, nan",Just a causal bunch of Krups things. Columbia in between sackett and union. #stoopingbrooklyn,"['Just a causal bunch', 'Krups things', 'Columbia in between sackett and union', 'stoopingbrooklyn']",Brooklyn,"[(4.570868, -74.297333)]",,[2488.529328498726],False,False
stoopingnyc,post,3233988751012888318,This has been a great stooping day if we may say so ourselves! Cute desk/table at 106 and Central Park West. #stooping,2023-11-11 22:25:23,"PostLocation(id=212988663, name='New York, New York', slug='new-york-new-york', has_public_page=True, lat=40.7142, lng=-74.0064)",https://www.instagram.com/p/Czhb6J3u37-,GraphImage,1,stooping,[],1343,10,,https://scontent-lga3-2.cdninstagram.com/v/t51.2885-15/401560858_1396265294258491_2497028146256698578_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xMDMweDEwMzAuc2RyIn0&_nc_ht=scontent-lga3-2.cdninstagram.com&_nc_cat=107&_nc_ohc=2BZj9BBEEM0AX8SoeXZ&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MzIzMzk4ODc1MTAxMjg4ODMxOA%3D%3D.2-ccb7-5&oh=00_AfB02Am7zqa_fSezcTZPQh1xgnlKgjrDNOt3kKImIJbs8A&oe=65565ED4&_nc_sid=fc8dfb,106 and Central Park West,"106 and Central Park West, New York, New York",40.7980887,-73.9600227,"40.7980887, -73.9600227",This has been a great stooping day if we may say so ourselves! Cute desk table at 106 and Central Park West. #stooping,"['This has been a great stooping day if we may say so ourselves', 'Cute desk table', '106 and Central Park West', 'stooping']",New York City,"[(40.7753765, -73.976794)]",5.393264126556178,[3.6075496161186833],False,False
stoopingnyc,post,3233959373704864343,Anyone know a pregnant lady with a pool? (Actually think also for sleeping!). 123 Sherman. #stoopingbrooklyn,2023-11-11 21:27:01,"PostLocation(id=212950988, name='Brooklyn, New York', slug='brooklyn-new-york', has_public_page=True, lat=40.649973, lng=-73.949961)",https://www.instagram.com/p/CzhVOqHuSJX,GraphImage,1,stoopingbrooklyn,[],333,2,,https://scontent-lga3-2.cdninstagram.com/v/t51.2885-15/369834790_239012289194581_1456918523723096452_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xNDQweDE4MDAuc2RyIn0&_nc_ht=scontent-lga3-2.cdninstagram.com&_nc_cat=101&_nc_ohc=I2EHtr8VePAAX_wpJuJ&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MzIzMzk1OTM3MzcwNDg2NDM0Mw%3D%3D.2-ccb7-5&oh=00_AfCPxoY70iRjV5Ge6NLzYeOLvsnTKJ_Wzdzz6ip_qx6gEA&oe=65567BB0&_nc_sid=fc8dfb,123 Sherman,"123 Sherman, New York, New York",42.1592235,-79.5953258,"42.1592235, -79.5953258",Anyone know a pregnant lady with a pool?  Actually think also for sleeping! . 123 Sherman. #stoopingbrooklyn,"['Anyone know a pregnant lady with a pool', 'Actually think also for sleeping', '123 Sherman', 'stoopingbrooklyn']",Brooklyn,[],306.7479863981851,[],False,False
stoopingnyc,post,3233923057902438501,What in the name of the stoops is going on in bushwick today??? Cornelia street between broadway and bushwick ave. #stoopingbrooklyn,2023-11-11 20:14:51,"PostLocation(id=212950988, name='Brooklyn, New York', slug='brooklyn-new-york', has_public_page=True, lat=40.649973, lng=-73.949961)",https://www.instagram.com/p/CzhM-MZOEhl,GraphImage,1,stoopingbrooklyn,[],2570,66,,https://scontent-lga3-2.cdninstagram.com/v/t51.2885-15/400452142_1081974846144693_747633386486734890_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xMjk1eDE0MjIuc2RyIn0&_nc_ht=scontent-lga3-2.cdninstagram.com&_nc_cat=109&_nc_ohc=09RRggmsGNAAX8GqXd0&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MzIzMzkyMzA1NzkwMjQzODUwMQ%3D%3D.2-ccb7-5&oh=00_AfCLDsZRBq1MfCq2n9ECU1Oy_Ag6uyG8Q3ZpYdQb1K3joQ&oe=65578CEB&_nc_sid=fc8dfb,,,,,"nan, nan",What in the name of the stoops is going on in bushwick today??? Cornelia street between broadway and bushwick ave. #stoopingbrooklyn,"['What in the name', 'the stoops is going', 'in bushwick today', 'Cornelia street between broadway and bushwick ave', 'stoopingbrooklyn']",Brooklyn,"[(40.2178384, -85.4336824), (40.6957755, -73.9170604), (40.692626, -73.923672)]",,"[602.983684958218, 4.936108160505218, 4.729708861744746]",False,False
stoopingnyc,post,3233922385681547109,Yes please. cornelia street between broadway and bushwick ave #stoopingbrooklyn,2023-11-11 20:13:31,"PostLocation(id=212950988, name='Brooklyn, New York', slug='brooklyn-new-york', has_public_page=True, lat=40.649973, lng=-73.949961)",https://www.instagram.com/p/CzhM0aVu39l,GraphImage,1,stoopingbrooklyn,[],750,3,,https://scontent-lga3-2.cdninstagram.com/v/t51.2885-15/401793721_3714922135449605_4232906920238166801_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xMjg0eDEzOTguc2RyIn0&_nc_ht=scontent-lga3-2.cdninstagram.com&_nc_cat=105&_nc_ohc=Y0SvbgeVux8AX_CG_2Y&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MzIzMzkyMjM4NTY4MTU0NzEwOQ%3D%3D.2-ccb7-5&oh=00_AfApAbc1v_pXZMiyzBG4KsMrRXYrn-hNG8qQ8249UoQ2QQ&oe=6557B7EC&_nc_sid=fc8dfb,,,,,"nan, nan",Yes please. cornelia street between broadway and bushwick ave #stoopingbrooklyn,"['Yes please', 'cornelia street between broadway and bushwick ave', 'stoopingbrooklyn']",Brooklyn,"[(40.692626, -73.923672)]",,[4.729708861744746],False,False
stoopingnyc,post,3233834032902614022,Sherpa! Which we think sounds cozy. MacDougal and bleecker. #stooping,2023-11-11 17:17:59,"PostLocation(id=212988663, name='New York, New York', slug='new-york-new-york', has_public_page=True, lat=40.7142, lng=-74.0064)",https://www.instagram.com/p/Czg4utZuqwG,GraphImage,1,stooping,[],152,2,,https://scontent-lga3-1.cdninstagram.com/v/t51.2885-15/400361350_887399242647867_5910089380833624421_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi43Mzl4NzM5LnNkciJ9&_nc_ht=scontent-lga3-1.cdninstagram.com&_nc_cat=103&_nc_ohc=0dUkM8UUeDoAX8ZhpxS&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MzIzMzgzNDAzMjkwMjYxNDAyMg%3D%3D.2-ccb7-5&oh=00_AfDV4cSmT4O1ENCPVbheoFbL1hG16NHjXZzvQeLTms1OCw&oe=65570882&_nc_sid=fc8dfb,,,,,"nan, nan",Sherpa! Which we think sounds cozy. MacDougal and bleecker. #stooping,"['Sherpa', 'Which we think sounds cozy', 'MacDougal and bleecker', 'stooping']",New York City,"[(40.729187, -74.00119029999999)]",,[0.17576724601026467],False,True
stoopingnyc,post,3233833441002355853,This. Is. Awesome. On Harman between Irving and Knickerbocker #stoopingbrooklyn,2023-11-11 17:16:48,"PostLocation(id=212950988, name='Brooklyn, New York', slug='brooklyn-new-york', has_public_page=True, lat=40.649973, lng=-73.949961)",https://www.instagram.com/p/Czg4mGJuXyN,GraphSidecar,2,stoopingbrooklyn,[],941,19,,https://scontent-lga3-2.cdninstagram.com/v/t51.2885-15/400839314_3542557989365020_8257482835291404074_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-lga3-2.cdninstagram.com&_nc_cat=104&_nc_ohc=cbIB8tUqmuwAX99nUo1&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDIfl7dc_TVC-npoLsU1KUpzRSdEdyET5NgQlCkyL_wsQ&oe=655698E9&_nc_sid=bc0c2c,,,,,"nan, nan",This. Is. Awesome. On Harman between Irving and Knickerbocker #stoopingbrooklyn,"['This', 'Is', 'Awesome', 'On Harman between Irving and Knickerbocker', 'stoopingbrooklyn']",Brooklyn,"[(32.8140177, -96.9488945)]",,[1379.6647955567576],False,False
